"Record Type","Name","Prompt Text","Description","Model / Motion Effect","Tool Type","Generation Style","Visual Subject","Category","Preset","Aspect Ratio","Duration (s)","Quality","Badges","Word Count","Char Count","Asset Count","Asset Type","Thumbnail (repo path)","Full-Res Asset URL","Poster URL","Asset Pairing","Recreate Model","Lesson","Lesson Timestamp (s)","Confidence","Site Section","Extraction Source","Sample Media URL","Source Page URL"
"Preset / Effect","Cold vision","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","4","video","thumbs/bd0629d5004bb593__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/687bb04a-635e-4405-a4f5-58327e13de1b.mp4","https://cdn.higgsfield.ai/user_34ymCzBjd5sPiSK3FtejvJl09UP/687bb04a-635e-4405-a4f5-58327e13de1b_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/687bb04a-635e-4405-a4f5-58327e13de1b.mp4","https://higgsfield.ai/mixed-media-presets/preset/d6ebc1b1-55b0-4379-8276-b46d47d8b056"
"Preset / Effect","Layer mixed media","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/f85dfe6939a24239__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/449530bb-454b-4956-b426-991ad7b6abe8.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/449530bb-454b-4956-b426-991ad7b6abe8_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/449530bb-454b-4956-b426-991ad7b6abe8.mp4","https://higgsfield.ai/mixed-media-presets/preset/6ff15c8c-de78-459e-af32-e7a1266dc075"
"Preset / Effect","Toxic","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/850898d9e20ee58f__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/f6b525c2-f6e2-4cf4-bc91-be39683283bb.mp4","https://cdn.higgsfield.ai/user_34ymCzBjd5sPiSK3FtejvJl09UP/f6b525c2-f6e2-4cf4-bc91-be39683283bb_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/f6b525c2-f6e2-4cf4-bc91-be39683283bb.mp4","https://higgsfield.ai/mixed-media-presets/preset/fd3ca94d-6c3d-443f-970b-a4e8dd7338da"
"Preset / Effect","Cannabis","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","4","video","thumbs/47a2679af3275d7b__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/3e48c60b-9d99-418b-a619-1aabdbe9d232.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/3e48c60b-9d99-418b-a619-1aabdbe9d232_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/3e48c60b-9d99-418b-a619-1aabdbe9d232.mp4","https://higgsfield.ai/mixed-media-presets/preset/c90cd302-d409-48fd-8643-36c34d7798e4"
"Preset / Effect","Noir","","","Mixed Media","Mixed Media Preset","Noir / Moody","","","","","","","","","","5","video","thumbs/911000ff8116f896__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/2cbd2e94-748a-40db-afef-cf0c31b3cb7d.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/2cbd2e94-748a-40db-afef-cf0c31b3cb7d_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/2cbd2e94-748a-40db-afef-cf0c31b3cb7d.mp4","https://higgsfield.ai/mixed-media-presets/preset/c92d1f34-8bc3-410a-99c4-4b8f387140ec"
"Preset / Effect","Flash comic","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","2","video","thumbs/88584a76843b58eb__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/0f9fc17c-0940-45b5-9216-c98c1577b996.mp4","https://cdn.higgsfield.ai/user_34ymCzBjd5sPiSK3FtejvJl09UP/0f9fc17c-0940-45b5-9216-c98c1577b996_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/0f9fc17c-0940-45b5-9216-c98c1577b996.mp4","https://higgsfield.ai/mixed-media-presets/preset/3fbd5057-50e1-4d1d-9a6f-8655836711b8"
"Preset / Effect","Origami","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/7c3f4efd8a2c5499__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/f99985db-1482-45d3-b3ad-01e24c70fb13.mp4","https://cdn.higgsfield.ai/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/f99985db-1482-45d3-b3ad-01e24c70fb13_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/f99985db-1482-45d3-b3ad-01e24c70fb13.mp4","https://higgsfield.ai/mixed-media-presets/preset/8c88dac7-0314-40b4-b611-5dcd3fda004d"
"Preset / Effect","LSD","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/9ec1af9380ce15a5__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/ac4b060a-893d-4579-a8a1-15e61f418cac.mp4","https://cdn.higgsfield.ai/user_34ymCzBjd5sPiSK3FtejvJl09UP/ac4b060a-893d-4579-a8a1-15e61f418cac_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/ac4b060a-893d-4579-a8a1-15e61f418cac.mp4","https://higgsfield.ai/mixed-media-presets/preset/c2b241c5-5239-4465-869f-fef60a06822e"
"Preset / Effect","Fragments","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/d50df7f575a13ec6__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/d505b1e8-afc2-4d6b-a87c-fe03174056b5.mp4","https://cdn.higgsfield.ai/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/d505b1e8-afc2-4d6b-a87c-fe03174056b5_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/d505b1e8-afc2-4d6b-a87c-fe03174056b5.mp4","https://higgsfield.ai/mixed-media-presets/preset/525fc0d7-abf1-49e5-a3e6-2f97eb50973c"
"Preset / Effect","Ultraviolet","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","3","video","thumbs/69ad59289f4ba2dd__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/7289564d-0a03-450f-abcf-588a81c5a818.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/7289564d-0a03-450f-abcf-588a81c5a818_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/7289564d-0a03-450f-abcf-588a81c5a818.mp4","https://higgsfield.ai/mixed-media-presets/preset/c9682e42-9891-4118-86bb-f8cf79c84055"
"Preset / Effect","Vintage","","","Mixed Media","Mixed Media Preset","Retro / VHS / Analog","","","","","","","","","","4","video","thumbs/d4c700f0d148a44d__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/1c1bbe88-bd15-4da3-801c-5c86518490fe.mp4","https://cdn.higgsfield.ai/user_2vV68Ukpv101mL5Dprsk6JvfLMI/1c1bbe88-bd15-4da3-801c-5c86518490fe_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/1c1bbe88-bd15-4da3-801c-5c86518490fe.mp4","https://higgsfield.ai/mixed-media-presets/preset/ee12f76c-ed17-4471-bf2e-52bda1bcae64"
"Preset / Effect","Particles","","","Mixed Media","Mixed Media Preset","","Abstract / Texture","","","","","","","","","5","video","thumbs/936e3d35e33b22c2__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/a4018bd1-be00-4b37-9cef-f6e6f2034ee2.mp4","https://cdn.higgsfield.ai/user_34ymCzBjd5sPiSK3FtejvJl09UP/a4018bd1-be00-4b37-9cef-f6e6f2034ee2_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/a4018bd1-be00-4b37-9cef-f6e6f2034ee2.mp4","https://higgsfield.ai/mixed-media-presets/preset/386ebb9d-643f-4108-a12f-3f867f18fb36"
"Preset / Effect","Modern","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","4","video","thumbs/22f9a627407ef955__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/3cf95ae2-1c86-4986-a477-220f3d33d8f9.mp4","https://cdn.higgsfield.ai/user_2vV68Ukpv101mL5Dprsk6JvfLMI/3cf95ae2-1c86-4986-a477-220f3d33d8f9_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/3cf95ae2-1c86-4986-a477-220f3d33d8f9.mp4","https://higgsfield.ai/mixed-media-presets/preset/9196d356-1406-43ef-bc68-cb26e7eaf507"
"Preset / Effect","Marble","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","3","video","thumbs/2731b489757c3d7b__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/824b7979-76c5-4d67-b0c6-5051e99cfdb9.mp4","https://cdn.higgsfield.ai/user_34ymCzBjd5sPiSK3FtejvJl09UP/824b7979-76c5-4d67-b0c6-5051e99cfdb9_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/824b7979-76c5-4d67-b0c6-5051e99cfdb9.mp4","https://higgsfield.ai/mixed-media-presets/preset/ff617894-b1bc-4931-85b3-1e5b159d2106"
"Preset / Effect","Lava","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/f9ccc8cf227ed5de__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_2x8ap0ZOdCcy5oLs7FeVpLjH02w/91854908-738a-4103-a5d5-65beacd61a1a.mp4","https://cdn.higgsfield.ai/user_2x8ap0ZOdCcy5oLs7FeVpLjH02w/91854908-738a-4103-a5d5-65beacd61a1a_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_2x8ap0ZOdCcy5oLs7FeVpLjH02w/91854908-738a-4103-a5d5-65beacd61a1a.mp4","https://higgsfield.ai/mixed-media-presets/preset/bb33da96-918c-4754-ba55-6d0dcbaf5173"
"Preset / Effect","Tracking","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/cd8cef96f60f1100__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/9954a6f7-991d-4d51-a4e3-66621c0a26a9.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/9954a6f7-991d-4d51-a4e3-66621c0a26a9_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/9954a6f7-991d-4d51-a4e3-66621c0a26a9.mp4","https://higgsfield.ai/mixed-media-presets/preset/9fa35d36-e5f4-4488-9068-8813bd232a22"
"Preset / Effect","Paper","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/63720ca9b55de81a__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/d47a72c6-b3d4-4cb2-9bfd-e6d594cbb7ba.mp4","https://cdn.higgsfield.ai/user_34ymCzBjd5sPiSK3FtejvJl09UP/d47a72c6-b3d4-4cb2-9bfd-e6d594cbb7ba_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/d47a72c6-b3d4-4cb2-9bfd-e6d594cbb7ba.mp4","https://higgsfield.ai/mixed-media-presets/preset/f63bf420-f98a-44e6-ba54-3f7eaa599d40"
"Preset / Effect","Ocean","","","Mixed Media","Mixed Media Preset","","Landscape / Nature","","","","","","","","","3","video","thumbs/9fe32eb71f0f0493__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_30SoPL3LiJARG7QHorTKWeKlLyE/6c76e215-f80a-47e9-ab40-f85414d9d455.mp4","https://cdn.higgsfield.ai/user_30SoPL3LiJARG7QHorTKWeKlLyE/6c76e215-f80a-47e9-ab40-f85414d9d455_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_30SoPL3LiJARG7QHorTKWeKlLyE/6c76e215-f80a-47e9-ab40-f85414d9d455.mp4","https://higgsfield.ai/mixed-media-presets/preset/19115d24-276e-4222-a23f-39cc23d9a326"
"Preset / Effect","Multiverse","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/0d674bbfe43ee8a6__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/e8e1a66b-b4ba-4454-8b53-acf324e8e629.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/e8e1a66b-b4ba-4454-8b53-acf324e8e629_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/e8e1a66b-b4ba-4454-8b53-acf324e8e629.mp4","https://higgsfield.ai/mixed-media-presets/preset/c38c2630-3986-4e28-858f-596fd254e5e9"
"Preset / Effect","Canvas","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/249e264d2a36c1d0__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/aa11261a-a6de-4f73-8b98-8d720f387ef2.mp4","https://cdn.higgsfield.ai/user_2vV68Ukpv101mL5Dprsk6JvfLMI/aa11261a-a6de-4f73-8b98-8d720f387ef2_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/aa11261a-a6de-4f73-8b98-8d720f387ef2.mp4","https://higgsfield.ai/mixed-media-presets/preset/1a722581-6ba0-48b2-b990-a177a3f26cc8"
"Preset / Effect","Broken mirror","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","3","video","thumbs/e45461ba60f367ce__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/a393bc7e-4a21-4cb7-b22b-7247084b10d4.mp4","https://cdn.higgsfield.ai/user_2vV68Ukpv101mL5Dprsk6JvfLMI/a393bc7e-4a21-4cb7-b22b-7247084b10d4_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/a393bc7e-4a21-4cb7-b22b-7247084b10d4.mp4","https://higgsfield.ai/mixed-media-presets/preset/5d89951e-ac83-4c7f-ac47-4d8db50c835e"
"Preset / Effect","Hand paint","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/d801f32d385b7c5f__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/53f21ef5-3837-43dd-a95d-ddf989bce909.mp4","https://cdn.higgsfield.ai/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/53f21ef5-3837-43dd-a95d-ddf989bce909_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/53f21ef5-3837-43dd-a95d-ddf989bce909.mp4","https://higgsfield.ai/mixed-media-presets/preset/ad8401a0-39a2-4c95-b65e-1634d41378ab"
"Preset / Effect","Palette","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","3","video","thumbs/9bb2b054785d0a71__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/f3601029-ecd3-4956-9888-e888b8a36177.mp4","https://cdn.higgsfield.ai/user_2vV68Ukpv101mL5Dprsk6JvfLMI/f3601029-ecd3-4956-9888-e888b8a36177_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/f3601029-ecd3-4956-9888-e888b8a36177.mp4","https://higgsfield.ai/mixed-media-presets/preset/15b97a49-9912-4a58-8424-b4ef1c302a05"
"Preset / Effect","Overhead","","The camera is positioned above the subject, smoothly tracking their movement. Great for showing layout, movement, or creating a stylized, cinematic look.","Wan 2.5","Motion Effect Preset","Cinematic / Film; Product / Commercial","People / Portrait","","","","","","","","","5","video","thumbs/8b3332e4c24790da__0.webp","https://static.higgsfield.ai/16b91c58-0aed-48ad-87ec-ec4c61e99eae.mp4","https://static.higgsfield.ai/16b91c58-0aed-48ad-87ec-ec4c61e99eae.webp","preset-preview","","","","High","motion","catalog_page","https://static.higgsfield.ai/16b91c58-0aed-48ad-87ec-ec4c61e99eae.mp4","https://higgsfield.ai/motion/cdb0b964-5bd6-4a26-8ae6-7fe605a28dc9"
"Preset / Effect","Dolly Zoom In","","Moves the camera forward while zooming out, warping perspective and creating a dramatic, unsettling effect. Great for shock, realization, or tension.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","5","video","thumbs/ffa6d439d2c57780__0.webp","https://static.higgsfield.ai/2b7775e5-d852-444b-a603-6c834b0a9019.mp4","https://static.higgsfield.ai/2b7775e5-d852-444b-a603-6c834b0a9019.webp","preset-preview","","","","High","motion","catalog_page","https://static.higgsfield.ai/2b7775e5-d852-444b-a603-6c834b0a9019.mp4","https://higgsfield.ai/motion/7d1c4551-e7cb-4728-b473-6b0b85f82b44"
