"Record Type","Name","Prompt Text","Description","Model / Motion Effect","Tool Type","Generation Style","Visual Subject","Category","Preset","Aspect Ratio","Duration (s)","Quality","Badges","Word Count","Char Count","Confidence","Site Section","Extraction Source","Sample Media URL","Source Page URL"
"Preset / Effect","Object POV","","Shows the scene from the object’s point of view, making viewers feel like they're seeing through its ""eyes."" Great for immersive, creative storytelling.","Wan 2.5","Motion Effect Preset","","People / Portrait; Product / Object","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/ab14b29d-f23e-449e-a40e-ebdbb4f7437a"
"Preset / Effect","Super Dolly Out","","Smoothly pulls the camera away from the subject, revealing more of the scene. Perfect for dramatic exits, emotional distance, or scene transitions.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/9dda3fb8-b917-457a-a995-72233031b1fd"
"Preset / Effect","Static","","The camera remains completely still, with no motion or shake. Clean, neutral, and steady—ideal for dialogue scenes or minimalist aesthetics.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/aab8440c-0d65-4554-b88a-7a9a5e084b6e"
"Preset / Effect","Skateboard Glide","","Smooth, flowing motion as the board rolls effortlessly. Relaxed and stylish, perfect for cruising scenes or aesthetic edits.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/86f0a592-515a-4a10-bffe-910c6282cb44"
"Preset / Effect","Selfie Posing","","The subject strikes stylish or playful poses in selfie mode. Perfect for reels or fashion","MiniMax Hailuo","Motion Effect Preset","UGC / Handheld; Fashion / Editorial","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/ecf0b2dd-4d97-4e5c-8e81-c384836c7233"
"Preset / Effect","Crash Zoom In + Tentacles","","Snaps into the subject’s face with a fast zoom as eerie tentacles emerge from their eyes. A shocking, surreal mix of horror and intensity.","Wan 2.5","Motion Effect Preset","Glitch / Experimental; Horror / Thriller","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/6b658ac3-48a7-49a7-85cc-97af9ff50069"
"Preset / Effect","FPV Drone","","Captures fast, fluid shots with a first-person view drone, flying through tight spaces and dynamic paths. Ideal for thrilling, immersive, and cinematic footage.","Wan 2.5","Motion Effect Preset","Cinematic / Film; Aerial / Drone","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/5eb82f94-2b98-4e4a-ab4b-ee6c872fb2c7"
"Preset / Effect","Graveyard Logo","","Tombstones, fog, and eerie graveyard elements surround your logo. Spooky cemetery vibes","MiniMax","Motion Effect Preset","Horror / Thriller","Text / Logo / Graphic","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/5eb46ea4-0e07-4095-96ef-c128f15bd938"
"Preset / Effect","Color Rain","","Vivid streaks of liquid color pour from above, soaking the subject in a dazzling spectrum. Bright, artistic, and playful.","Wan 2.5","Motion Effect Preset","","People / Portrait; Abstract / Texture","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/3a95cd41-baeb-4e31-9347-3aa69eed3f51"
"Preset / Effect","Building Explosion + Disintegration","","A structure erupts in a fiery blast, then rapidly crumbles into dust and particles mid-air. A powerful blend of destruction and decay—perfect for apocalyptic or sci-fi scenes.","Wan 2.5","Motion Effect Preset","Fantasy / Sci-Fi","Architecture / Interior; Abstract / Texture","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/816671cd-720b-4d90-a1d4-abbcb89be8ba"
"Preset / Effect","Hole Transition","","A spinning donut wipes across the screen, making way for the next scene. Fun, quirky, and unexpected.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/b03d3554-d088-49a4-8050-bda4bd2e456e"
"Preset / Effect","Tentacles","","A surreal VFX effect where tentacles emerge from a person’s eyes, twisting and moving as if alive. Adds a creepy, otherworldly vibe perfect for horror or sci-fi scenes.","Wan 2.5","Motion Effect Preset","Glitch / Experimental; Fantasy / Sci-Fi; Horror / Thriller","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/8fccea16-08b5-432c-8123-8456523e2d60"
"Preset / Effect","Air Bending","","The subject dissolves into a whirling torrent of air and light, surging across the space as an ethereal gusting current before reforming in a new location. Aerial, weightless, and boundless.","Wan 2.5","Motion Effect Preset","Aerial / Drone","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/c4dd8cc3-79a6-4366-b9a1-071ad848ddd2"
"Preset / Effect","Low Shutter","","Creates motion blur by lowering the shutter speed, giving your video a dreamy, streaky, or intense action look. Perfect for stylized or high-energy scenes.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/fe85971a-92e3-4c85-ac20-b4ecebaf1567"
"Preset / Effect","Snorricam","","The movement captures the rhythm of the actor’s steps, creating a disorienting, visceral effect that emphasizes tension or distress’","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/893cb65f-c528-40aa-83d8-c5aeb2bfe59f"
"Preset / Effect","Multiverse","","Worlds collide and merge as the subject is pulled across parallel dimensions. Expansive, cosmic, and mind-bending.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/5949fec9-f70e-45d5-8ab9-5544bb18dd72"
"Preset / Effect","Aerial Pull Out","","Camera zooms upward into the sky, revealing the full landscape. Epic, cinematic, and spatial","MiniMax Hailuo","Motion Effect Preset","Cinematic / Film; Aerial / Drone","People / Portrait; Landscape / Nature","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/b0da7c10-b36d-4f15-9b86-a3c45fd8135b"
"Preset / Effect","Car Mount","","Camera is fixed to a moving car, capturing dynamic driving shots with real motion and vibration.","MiniMax Hailuo","Motion Effect Preset","","Vehicles / Transport","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/bb08555e-8641-4b56-a97f-faccd1a8f615"
"Preset / Effect","Crane Down","","Gently lowers the camera from above to the subject, creating a dramatic or revealing entrance. Perfect for introductions, transitions, or emotional emphasis.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/41d4241f-8e3a-4c72-bd1d-89e93f06b0f0"
"Preset / Effect","Look, BOOM!","","Pointing or gesturing dramatically toward an explosion.","Wan 2.5","Motion Effect Preset","","","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/2cee1f43-c939-4d8c-9581-b5ac6b842405"
"Preset / Effect","Mouth In","","Zooms swiftly into the character’s mouth for a fun, quirky, or surreal transition. Ideal for adding humor or exaggerating expressions.","Wan 2.5","Motion Effect Preset","Glitch / Experimental","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/7351a8ad-9754-4844-94f1-00baf293d588"
"Preset / Effect","Wonderland","","Reality bends into warped colors and hallucinations, twisting the subject into a surreal nightmare. Psychedelic, chaotic, and disorienting.","Wan 2.5","Motion Effect Preset","Glitch / Experimental; Horror / Thriller","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/4ef29c6b-44de-4309-8101-19b021db4abd"
"Preset / Effect","Bloody Eyes","","Blood-red eyes or streams of blood pouring down the face. Possessed, intense, demonic","MiniMax 2.3","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/190e1346-6cfd-40f8-bbb4-c7887b131660"
"Preset / Effect","Handheld","","Mimics natural, shaky camera movement for a raw and realistic feel. Great for intense scenes, vlogs, or making viewers feel like they're in the moment.","Wan 2.5","Motion Effect Preset","UGC / Handheld","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/36e6e450-52d9-484f-bfbe-f069e06a1530"
"Preset / Effect","Powder Explosion","","A burst of colorful or dusty powder erupts around the subject, filling the frame with texture and motion. Perfect for dramatic entrances, dance shots, or high-impact visual flair.","Wan 2.5","Motion Effect Preset","","People / Portrait; Abstract / Texture","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/fc56f780-079b-4a4f-b135-09384440fe75"
"Preset / Effect","Levitation + Invisible","","An unseen subject rises into the air—only floating clothes or subtle distortions reveal their presence. Mysterious, surreal, and perfect for supernatural or sci-fi scenes.","Wan 2.5","Motion Effect Preset","Glitch / Experimental; Fantasy / Sci-Fi","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/68962439-c1e7-4e3f-a6b9-3efc967176c7"
"Preset / Effect","Pan Left","","The camera pans left to reveal new details or follow motion, adding flow to the shot.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/6f087874-24f3-4d48-9eb9-f4349ac6a105"
"Preset / Effect","Paint Splash","","The object or subject transforms into a burst of liquid paint—splattering outward in colorful, fluid motion. Surreal and expressive, ideal for artistic transitions or dramatic visual effects.","Wan 2.5","Motion Effect Preset","Glitch / Experimental","People / Portrait; Product / Object; Abstract / Texture","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/e520303a-70ed-4438-9306-830528fbdd29"
"Preset / Effect","Firelava","","Skin cracks as molten light breaks through, transforming the subject into a blazing fire bending elemental of flowing lava and flame. Intense, fiery, and unstoppable","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/eeaa42bc-d607-464e-b21f-b7fb8b1cb3fc"
"Preset / Effect","Duplicate","","The subject splits into multiple identical copies that appear side by side or in sequence. Creates a surreal, sci-fi, or fast-motion effect—great for showing speed, confusion, or supernatural power.","Wan 2.5","Motion Effect Preset","Glitch / Experimental; Fantasy / Sci-Fi","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/20b46995-5991-48e0-8fcc-6b1f5dfb4c52"
"Preset / Effect","Skin Surge","","Objects like hands, flowers, or surreal forms emerge smoothly from the subject’s skin, as if breaking through a living surface. Organic, eerie, or poetic—perfect for fantasy, horror, or dreamlike visuals.","Wan 2.5","Motion Effect Preset","Glitch / Experimental; Fantasy / Sci-Fi; Horror / Thriller","People / Portrait; Product / Object","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/aae6a422-fee1-4b89-ac7a-aea5d484fc1b"
"Preset / Effect","Thunder God + Turning Metal","","he subject’s body transforms into gleaming metal as lightning crackles around them and eyes glow with electric power. A godlike fusion of strength, energy, and unstoppable force.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/c839c180-cf06-4924-8ad5-ddea18c97122"
"Preset / Effect","Pan Right","","A smooth pan to the right that uncovers space or movement, keeping the scene dynamic.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/ce0b3d96-be4c-4b2d-962a-340dd386d910"
"Preset / Effect","YoYo Zoom","","A rapid in-and-out zoom motion that mimics the snap of a yoyo—fast, playful, and punchy. Adds energy, tension, or comic effect to your scene.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/702c6210-9798-4888-b7c9-e794c8fcaaef"
"Preset / Effect","Floating Fish","","Light blue fish swims in from outside the frame and floats gracefully around her, moving gently through the air as if drifting in invisible water.","Wan 2.5","Motion Effect Preset","","People / Portrait; Animals / Creatures; Food / Drink","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/66302844-ab6f-4c45-8171-807b6655148e"
"Preset / Effect","Clone Explosion","","The subject instantly splits into multiple identical versions that burst outward in all directions. A bold, surreal effect perfect for showcasing speed, chaos, or supernatural duplication.","Wan 2.5","Motion Effect Preset","Glitch / Experimental","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/9680aaf0-c5db-4204-833f-56f825bb350b"
"Preset / Effect","Acid","","The world melts and warps in a wild, LSD-inspired visual trip. Psychedelic, colorful, and completely unreal","MiniMax Hailuo","Motion Effect Preset","Glitch / Experimental","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/a99e16db-8264-43e2-9279-fe66098db36f"
"Preset / Effect","Datamosh","","A glitchy visual effect where pixels bleed, smear, and blend between frames, creating distorted transitions. Chaotic, trippy, and perfect for edgy, experimental, or digital glitch aesthetics.","Wan 2.5","Motion Effect Preset","Glitch / Experimental","","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/1ec9ecaf-4e47-48c7-943c-5c2d651d7ad1"
"Preset / Effect","Whip Pan","","A fast camera pan that blurs the scene, used to transition between shots or add energy and speed. Great for action, comedy, or sudden scene changes.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/7a144766-cdd2-4b73-8a27-67b35f2d4ba2"
"Preset / Effect","Censorship","","Adds pixel blur or bars over parts of the image—funny, edgy, or playful censorship style","MiniMax Hailuo","Motion Effect Preset","","People / Portrait; Vehicles / Transport","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/d3c3692f-1aec-4274-9aaf-5f461ad71b6a"
"Preset / Effect","Money Rain","","Cash falls from the sky in slow motion. Rich, flashy, or humorous effect","MiniMax Hailuo","Motion Effect Preset","","People / Portrait; Landscape / Nature","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/40a465df-3484-4130-bfd2-54f5cdcaf3bf"
"Preset / Effect","Smoke Transition","","Billowing smoke swirls across the screen, veiling and then revealing the transition. Atmospheric, smooth, and mysterious.","Wan 2.5","Motion Effect Preset","","People / Portrait; Abstract / Texture","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/efb77740-741f-419d-ae8d-cf487e01a6e9"
"Preset / Effect","Innerlight","","A radiant glow builds from within the subject, shining through their skin and eyes. Feels spiritual, powerful, or magical—perfect for transformations, awakenings, or emotional peaks.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/5dacd377-f98b-4977-8603-714fe93231a8"
"Preset / Effect","Through Object Out","","Moves the camera outward through an object, revealing the scene behind it. Creates a smooth, creative transition and adds depth to your storytelling.","Wan 2.5","Motion Effect Preset","","People / Portrait; Product / Object","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/3e217f3c-5133-4e83-ab6c-afb35d1c5852"
"Preset / Effect","Dolly Right","","Moves the camera smoothly to the right alongside the subject or scene. Great for tracking motion, revealing space, or adding cinematic flow.","Wan 2.5","Motion Effect Preset","Cinematic / Film","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/17a8f1d4-88a4-4bb5-a662-c28e8ea7d023"
"Preset / Effect","Scarecrow Scream","","Transform into a nightmarish scarecrow and unleash a bone-chilling scream. Rural terror at its finest","MiniMax 2.3","Motion Effect Preset","","","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/8aa315fa-5e47-424a-9f90-0f29be169398"
"Preset / Effect","Agent Reveal","","The subject jerks or shakes their head as their face and body glitch and morph into a sharp-suited agent figure. Fast, surreal, and powerful—perfect for sudden identity shifts or secret transformations.","Wan 2.5","Motion Effect Preset","Glitch / Experimental; Product / Commercial","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/a5e7e831-c323-4f69-926f-74f31197809b"
"Preset / Effect","Point Cloud","","Visual made up of scattered points—3D scan style. Dreamy, techy, or surreal","MiniMax Hailuo","Motion Effect Preset","Glitch / Experimental","","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/569ea796-2a19-4ccc-9281-29179e96ebf3"
"Preset / Effect","Wireframe","","Turns subject or background into a digital wireframe model. Futuristic and technical","MiniMax Hailuo","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/ea67acab-a7bf-4fff-b098-a0f1f1a6796c"
"Preset / Effect","Invisible","","The subject vanishes completely—no body, no clothing—leaving only their movement or impact behind. Feels ghostly, surreal, and perfect for sci-fi, stealth, or supernatural edits.","Wan 2.5","Motion Effect Preset","Glitch / Experimental; Fantasy / Sci-Fi","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/30802f12-3db4-49b8-b0ab-6f0c737b252e"
"Preset / Effect","Dolly Out","","Pulls the camera smoothly away from the subject, revealing more of the scene. Great for emotional distance, dramatic exits, or cinematic reveals.","Wan 2.5","Motion Effect Preset","Cinematic / Film","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/96e95a3c-ad0e-49ee-84e3-a39e0f13b543"
"Preset / Effect","Snorricam + Low Shutter","","The subject stays locked in frame while the world blurs with motion streaks. A dizzying, chaotic blend perfect for intense or disoriented scenes.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/a3ce0054-2745-40e9-99b8-29977324bff1"
"Preset / Effect","Dolly Left","","Moves the camera smoothly to the left, following or revealing the scene. Perfect for tracking shots, transitions, or adding visual interest.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/36186f21-e20f-479f-a7b9-f7f12354a4ab"
"Preset / Effect","Trucksition","","A massive truck barrels across the frame, wiping the scene into the next. Bold, gritty, and unexpected.","Wan 2.5","Motion Effect Preset","","People / Portrait; Vehicles / Transport","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/81c90748-7852-4bb1-a0ec-1649beb72024"
"Preset / Effect","Ski Carving","","Shows a skier making clean, fast turns on the slope. Dynamic, smooth, and elegant—ideal for scenic mountain action.","Wan 2.5","Motion Effect Preset","","People / Portrait; Landscape / Nature","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/c7b26f66-9d34-44d7-9b18-c8e679e6a391"
"Preset / Effect","Double Exposure","","Overlapping visuals create a layered effect. Poetic, emotional, or artsy","MiniMax Hailuo","Motion Effect Preset","","","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/19944586-7fa0-45da-a4bc-1ee51f7832fd"
"Preset / Effect","Eating","","Focus on the subject eating naturally. Can be casual, aesthetic, or comedic","MiniMax Hailuo","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/ab88f36f-6f1c-4a37-b3ee-76444adbba23"
"Preset / Effect","Double Dolly","","Both the camera and subject move together on dollies, keeping the subject perfectly still in frame while the background shifts. Creates a surreal, floating effect often used in music videos and dreamlike scenes.","Wan 2.5","Motion Effect Preset","Glitch / Experimental","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/66ab5702-475d-4153-92a1-ff67cc3dec25"
"Preset / Effect","Saint Glow","","A divine halo of light radiates from the subject, casting them in pure brilliance. Holy, radiant, and majestic.","Wan 2.5","Motion Effect Preset","","People / Portrait","","","","","","","","","High","motion","catalog_page","","https://higgsfield.ai/motion/5772cc26-730f-4fb2-945b-fa4c5313feca"
